organization_id,name,organization_type,location_id,description
adf3126d-e171-4c9d-ab9e-573ef35169c3,Tis Hazari District Court,court,3657e03b-3d50-4b79-9079-c8ce5b4fcd39,A major metropolitan court complex adjudicating diverse civil disputes and criminal cases.
935f1c42-1942-401c-8c0b-546c3a7f197d,Saket District Court,court,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,A modern judicial facility providing trial and appellate services for southern district litigants.
0358b1c1-bf63-424d-ac53-5750a454f915,Howrah Sessions Court,court,45e803a1-d704-4e47-9f8a-a5fe1b39d690,A regional court dedicated to administering criminal justice and handling sessions trials.
45ec9101-eaff-4980-be6a-c5ef9d2708b8,Aarav Textile Mills,employer,1ab2e194-0820-4f38-95a6-48060600b32e,Aarav Textile Mills manufactures and supplies cotton and synthetic fabrics to domestic retail markets.
433d747a-ff30-46df-a65d-98db291b6e6c,Varanasi Logistics and Transport,employer,224509af-d2a1-4d77-88c6-cfedcfd3682c,Varanasi Logistics and Transport operates a fleet of commercial trucks for freight forwarding across Northern India.
d5377d32-2197-4bc7-9984-fe8e80b91477,Kalinga Agro Commodities,employer,8b290e9f-43ac-4762-b2a2-f30d65d03bed,"Kalinga Agro Commodities trades in bulk agricultural grains, pulses, and oilseeds from regional mandis."
5d9e7a27-4d51-4e71-9f37-595ad572215f,Dakshin Electronics Assembly,employer,1ab2e194-0820-4f38-95a6-48060600b32e,Dakshin Electronics Assembly produces circuit boards and consumer electronic components for local brands.
04a22744-e3f7-4d24-bb63-0447e38ffbc5,Narmada Infra Developers,employer,1ab2e194-0820-4f38-95a6-48060600b32e,Narmada Infra Developers undertakes civil engineering contracts for commercial and residential buildings.
923864da-c98b-44a0-bec3-72b1b23a4c3d,Zenith IT Solutions,employer,8b290e9f-43ac-4762-b2a2-f30d65d03bed,Zenith IT Solutions provides custom software development and database management services for small businesses.
393126cc-25ad-44d2-912f-81632dc36973,Ganga Overseas Exports,employer,9d0acc1a-7cf8-43d2-b9dd-df559896f394,Ganga Overseas Exports sources handicraft items and home textiles for buyers in European markets.
cdd8e0c2-371f-4b7d-9e32-031673385a92,Royal Spice Caterers and Restaurants,employer,acf95cbc-185f-41f6-abd6-8eae56de4478,Royal Spice Caterers and Restaurants operates a chain of dine-in eateries and provides outdoor catering services.
3798b4d8-4a69-47a9-9a7c-fc8ee09104d7,Prakash Polymer Industries,employer,da97debf-a2c0-4f37-9708-76fe4aef4637,Prakash Polymer Industries injection-molds plastic packaging materials and industrial containers.
7071153f-f488-4d8f-b9f6-9a6b55829430,Malabar Timber and Plywood,employer,1ab2e194-0820-4f38-95a6-48060600b32e,Malabar Timber and Plywood processes raw timber logs into commercial plywood boards and flush doors.
33efefe0-5f02-494e-8480-af9a3902c8e9,Shivalik Hardware Traders,employer,e137e7b2-7e1e-406d-bd4d-ca4981740883,"Shivalik Hardware Traders wholesales construction fasteners, ironmongery, and plumbing supplies to local contractors."
5468d8c3-eb75-4045-bd54-47bca45d8ece,Deccan Auto Spares,employer,e137e7b2-7e1e-406d-bd4d-ca4981740883,Deccan Auto Spares distributes aftermarket replacement components for commercial two-wheelers and tractors.
f6a18c83-a78b-469d-8b9a-b3166dbd1887,Apex Printing Press,employer,8b290e9f-43ac-4762-b2a2-f30d65d03bed,"Apex Printing Press handles commercial offset printing jobs including packaging cartons, brochures, and labels."
c93d2ee5-bb14-49c4-a5a5-5d8303fe69ea,Saffron Hospitality Ventures,employer,0be8fffc-3af0-4ad1-baad-28ec2aa7f02f,Saffron Hospitality Ventures manages a mid-scale boutique hotel and associated banquet facilities.
5c32fcf2-2f79-4808-8668-f3decddaf119,Vindhya Cold Storage,employer,fc95a8f1-8226-4323-8a5a-6d16cd95de50,Vindhya Cold Storage offers temperature-controlled warehousing space for perishable fruits and vegetables.
01e748e9-21e6-4266-a3c3-3c3a0f6cb670,Coromandel Chemical Works,employer,9d0acc1a-7cf8-43d2-b9dd-df559896f394,Coromandel Chemical Works formulates industrial cleaning agents and surface treatment compounds.
7b67ae02-c9f9-4da0-8e43-a8ec0c920dea,Aravalli Earthmovers,employer,602d9768-51c6-48ac-b514-d39a38aa8cab,Aravalli Earthmovers rents out heavy excavation machinery and bulldozers for site preparation work.
08e65a1e-f247-4cd2-b1e0-07f6354d3d4a,Tapti Footwear Manufacturers,employer,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Tapti Footwear Manufacturers produces mass-market rubber slippers and synthetic sandals for regional distributors.
fa1349f0-6b72-495e-b268-7f1840ba0c3b,Himalayan Herbal Extracts,employer,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Himalayan Herbal Extracts processes medicinal plant leaves and roots into raw ingredients for cosmetic companies.
f49a71d3-97f1-47d6-8b1d-7e34c7c0443f,Konkan Marine Fisheries,employer,8b290e9f-43ac-4762-b2a2-f30d65d03bed,"Konkan Marine Fisheries processes, freezes, and packages catch for distribution to inland seafood markets."
24d3ec27-0027-4bb7-af67-4aedf70357b8,Gomti Paper Products,employer,fc95a8f1-8226-4323-8a5a-6d16cd95de50,Gomti Paper Products converts jumbo paper rolls into corrugated cardboard shipping boxes.
3cd8fe78-2f8e-4181-8668-42a7a572f2b6,Godavari Solar Systems,employer,63567c45-207e-4463-9fb3-9061aea4680e,Godavari Solar Systems installs rooftop photovoltaic solar panels for commercial and residential clients.
feb613df-e7dc-4340-a4a0-9d9d570e2bad,Rohilkhand Dairy Products,employer,e137e7b2-7e1e-406d-bd4d-ca4981740883,Rohilkhand Dairy Products collects raw milk from local farmers and processes it into packaged milk and curd.
b19832ae-0c27-4803-a12a-cde4ff547955,Sahyadri Metal Works,employer,8b290e9f-43ac-4762-b2a2-f30d65d03bed,"Sahyadri Metal Works fabricates structural steel grills, gates, and industrial storage racks."
540acab2-6dfc-41b3-938a-e6f229ae1c8b,Brahmaputra Handloom Emporium,employer,e137e7b2-7e1e-406d-bd4d-ca4981740883,Brahmaputra Handloom Emporium retails traditional silk sarees and woven cotton stoles through local outlets.
65d279d8-2114-4452-893b-c12df8cfe447,Yamuna Glass and Plywood,employer,224509af-d2a1-4d77-88c6-cfedcfd3682c,Yamuna Glass and Plywood distributes architectural float glass and commercial plywood sheets to interior decorators.
4a3978dc-2188-4900-b6ba-fde21b3ce481,Cauvery Flour Mills,employer,6e52fc9a-f78d-4af7-8767-7e8f2a460895,Cauvery Flour Mills grinds wheat and maize into refined flour and semolina for local bakeries.
124b6783-9e93-4e6a-ab41-3e786cc681fd,Chambal Granite and Marble,employer,da97debf-a2c0-4f37-9708-76fe4aef4637,Chambal Granite and Marble cuts and polishes natural stone slabs for flooring and kitchen countertops.
f38ea963-cddd-45a7-bcaa-945ba8d1542f,Subarnarekha Scrap Trading,employer,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Subarnarekha Scrap Trading collects and sorts industrial metal scrap for recycling mills.
d0b94e2f-1b43-4e59-9e3c-5c7e636793d2,Periyar Rubber Products,employer,acf95cbc-185f-41f6-abd6-8eae56de4478,Periyar Rubber Products manufactures molded rubber gaskets and seals for automotive applications.
251e06f7-9075-40cd-8a9d-8b71b1ff5182,Sabarmati Readymade Garments,employer,63567c45-207e-4463-9fb3-9061aea4680e,Sabarmati Readymade Garments stitches casual wear shirts and trousers for retail apparel brands.
339f4814-d583-4c91-9bf8-fbfd2ad76653,Indravati Handloom Weavers,employer,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Indravati Handloom Weavers produces hand-woven cotton bedsheets and furnishing fabrics for export traders.
b70ed86a-4823-4631-9830-1f4cba4ed21f,Mahanadi Pipe Industries,employer,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,Mahanadi Pipe Industries extrudes PVC pipes and fittings for agricultural irrigation networks.
6cde2bb4-b95d-41a4-a5f7-656fe70d7fe3,Pench Agro Seeds,employer,63567c45-207e-4463-9fb3-9061aea4680e,"Pench Agro Seeds processes, treats, and packages high-yield hybrid crop seeds for farming communities."
97eebba2-14d3-47c3-af88-16c12a3d3bd1,Son River Brick Works,employer,acf95cbc-185f-41f6-abd6-8eae56de4478,Son River Brick Works manufactures clay building bricks and hollow blocks for local masonry contractors.
791b9542-db16-4568-af0d-3a9ddec3bc31,Baitarani Packaging Solutions,employer,224509af-d2a1-4d77-88c6-cfedcfd3682c,Baitarani Packaging Solutions prints customized corrugated cartons and multi-layer flexible pouches for consumer goods.
bf5e0140-f71e-45fe-9d0b-2ccdfc141fad,Tungabhadra Engineering Works,employer,da97debf-a2c0-4f37-9708-76fe4aef4637,Tungabhadra Engineering Works machines precision metal components and spare parts for agricultural machinery.
0dccb11e-3fbd-42f9-a37b-287a9503a3f4,Luni Valley Minerals,employer,fc95a8f1-8226-4323-8a5a-6d16cd95de50,Luni Valley Minerals quarries and grades industrial silica sand for glass manufacturing and foundry use.
e6306fcd-5656-4ef2-8507-7a7f9143acca,Banas Dairy Distributors,employer,5142d1c6-96f2-49c3-9a7d-0db46d67442c,"Banas Dairy Distributors supplies packaged paneer, butter, and flavoured milk to neighborhood convenience stores."
5d840ae1-4e0c-4344-b112-be9f87ef8622,Wardha Cement Products,employer,0be8fffc-3af0-4ad1-baad-28ec2aa7f02f,Wardha Cement Products casts reinforced concrete drain pipes and paving blocks for municipal projects.
c14e82d0-462e-409d-adec-b47719ec97b0,Aashray Youth Foundation,ngo,9dda0b2e-ff57-4c9e-ac43-43e122f085c1,An NGO focused on providing vocational training and educational support to underprivileged children in rural districts.
b18b401f-1e65-4340-99c1-2cb836694f6d,Bhartiya Mahila Vikas Manch,ngo,c979adee-c596-4e7a-ab3a-5fed248c8265,A non-profit organization dedicated to empowering women through microfinance literacy and self-help group initiatives.
aa50d52d-f9e3-462f-82ee-10a96643ac93,GreenRoots Environmental Trust,ngo,0ef6a8e7-98bf-41b7-a775-e46b94c109c8,An environmental advocacy group working on afforestation projects and urban waste management awareness campaigns.
64b16c47-5100-48aa-8c14-4135b1cbab1e,Navchetan Health Society,ngo,b0d541e6-03ce-4db7-be47-eba21bd01943,A community-based organization that organizes free medical camps and healthcare outreach programs in backward regions.
e7b27631-439a-48ee-afaf-3f57267154ef,Prayas Child Welfare Mission,ngo,381ae24e-5183-4e34-97d6-ef99f38c569e,"A charitable trust dedicated to the rescue, rehabilitation, and basic education of destitute children."
2a373dc3-a394-42bc-81dd-c768a124c48a,Vishwa Telelinks Limited,telecom_provider,9d0acc1a-7cf8-43d2-b9dd-df559896f394,A nationwide cellular network operator providing prepaid and postpaid mobile services across multiple telecom circles.
ef73959e-9575-4502-89bb-2239a1aeac40,Swadeshi CommNet Services,telecom_provider,1ab2e194-0820-4f38-95a6-48060600b32e,An emerging telecommunications provider delivering high-speed fiber broadband and voice connectivity to residential and enterprise customers.
5b899e85-d3ad-4dac-ac60-492693279a0f,Aryavart Mobile Networks,telecom_provider,6e52fc9a-f78d-4af7-8767-7e8f2a460895,A regional wireless service provider offering affordable voice and data connectivity solutions to semi-urban and rural subscribers.
ebee3b6b-906e-4381-994c-eb9ad79c4514,Pragati Wireless Communications,telecom_provider,224509af-d2a1-4d77-88c6-cfedcfd3682c,A digital infrastructure and telecommunication services company specializing in enterprise-grade data circuits and wireless broadband.
03256f74-8583-4873-91d9-e88da96f82a4,Shivam Trading Co.,shell_company,fc95a8f1-8226-4323-8a5a-6d16cd95de50,A general merchandise trading firm specializing in domestic wholesale distribution of consumer goods.
f8e3956f-a96d-4ae8-9822-1fbc2af3f8d4,Global Overseas Consultancy,shell_company,602d9768-51c6-48ac-b514-d39a38aa8cab,An advisory firm providing international business strategy and market research services.
f7f831f5-1448-4d87-b358-860a60e69566,Venkateswara Enterprises,shell_company,224509af-d2a1-4d77-88c6-cfedcfd3682c,A multi-sector commercial enterprise engaged in import-export operations and commodity supply.
17973866-5bfb-4886-a821-5b8656a16215,Aarav Impex Private Limited,shell_company,5142d1c6-96f2-49c3-9a7d-0db46d67442c,An import and export business focusing on industrial raw materials and finished textiles.
432177b5-7ea1-4eb5-8bee-274f80406364,Pioneer Commercial Holdings,shell_company,fc95a8f1-8226-4323-8a5a-6d16cd95de50,A holding company managing diversified investments in industrial equipment and commercial properties.
ee3ce061-ef1c-4e08-8347-5d3d580c38e9,Dynamic Synergy Solutions,shell_company,1ab2e194-0820-4f38-95a6-48060600b32e,A corporate consulting entity offering project management and business development support.
5293defd-ba92-465e-a824-7e48f96f0997,Kuberan Merchants & Agencies,shell_company,fc95a8f1-8226-4323-8a5a-6d16cd95de50,A commission agency facilitating bulk trade and procurement of agricultural produce.
1ea85e91-4342-4bbc-b5f9-0df6c42d0b4e,Apex Prime Ventures,shell_company,e137e7b2-7e1e-406d-bd4d-ca4981740883,A private business venture focused on facilitating cross-border trade agreements and partnerships.
a8b13f7e-506a-4c53-8b25-8e9e951cb56f,Naman Exports & Imports,shell_company,1ab2e194-0820-4f38-95a6-48060600b32e,An enterprise involved in shipping consumer electronics and hardware components overseas.
3b5a2416-e73c-4df6-a376-71cf98306ee0,Trident Business Associates,shell_company,fc95a8f1-8226-4323-8a5a-6d16cd95de50,A corporate services firm providing liaison and administrative support for industrial clients.
