event_id,event_name,event_type,event_date,location_id,description
db6c257b-7cd8-4868-883c-855bf59013c2,Delhi Retail Association Annual General Meeting,business_meeting,2024-03-05,6e52fc9a-f78d-4af7-8767-7e8f2a460895,Members discussed supply chain optimization strategies and upcoming festive season promotional campaigns.
d41c8c52-f880-455a-8172-1d59e979db7b,Hyderabad Pharma Logistics Consortium,business_meeting,2025-05-21,63567c45-207e-4463-9fb3-9061aea4680e,Supply chain leaders met to evaluate temperature-controlled transport solutions for international vaccine distribution.
d5e2c240-56ea-4f9d-8ac0-f8651d18fe02,Chennai Textile Export Partners Review,business_meeting,2025-03-31,63567c45-207e-4463-9fb3-9061aea4680e,Key manufacturers and global buyers negotiated contract renewals and sustainable sourcing standards.
034a6776-40f0-4c55-96f6-c085b5e6379a,Pune Automotive Components Vendor Alignment,business_meeting,2023-07-17,0be8fffc-3af0-4ad1-baad-28ec2aa7f02f,Tier-one suppliers and assembly plant managers coordinated production schedules for the upcoming electric vehicle rollout.
ac95621f-393e-41f0-828e-7a23823cd896,Kolkata FMCG Distribution Network Sync,business_meeting,2024-02-14,1ab2e194-0820-4f38-95a6-48060600b32e,Regional sales heads analyzed consumer demand trends and planned inventory distribution across eastern districts.
633a813d-c677-4cb8-85a1-2bf602b00a48,Ahmedabad Renewable Energy Investors Roundtable,business_meeting,2024-07-31,e137e7b2-7e1e-406d-bd4d-ca4981740883,Stakeholders discussed financing models and site allocations for upcoming solar infrastructure projects.
8bbdf302-c880-4b3c-8d63-4b676a6f8c54,Gurugram Startup Incubator Mentorship Sync,business_meeting,2023-07-25,6e52fc9a-f78d-4af7-8767-7e8f2a460895,Founders and venture capital partners evaluated early-stage growth metrics and fundraising milestones.
cd9bbee7-e06b-4c11-a037-4ac49494cd11,Kochi Maritime Logistics Coordination,business_meeting,2024-07-12,da97debf-a2c0-4f37-9708-76fe4aef4637,Port authority representatives and shipping agents met to streamline cargo clearance procedures and customs documentation.
b1810694-88f6-4cf0-b6fb-295067e6430a,Civil Suit Property Dispute Hearing,court_hearing,2024-08-03,e44e89e9-4e92-4430-af77-94a617033bd3,The district court reviews document submissions regarding the disputed ancestral land title.
d1c76ee1-b5fc-4687-bfa1-3c63e275a103,Anticipatory Bail Application Hearing,court_hearing,2024-10-08,4084b2c2-1a7b-4c95-8daf-73b43d009467,The high court bench evaluates arguments concerning the interim protection plea filed by the petitioner.
7b4afd83-7b2e-4bbc-8eb9-af1c41c87334,Consumer Forum Grievance Hearing,court_hearing,2024-03-03,afdd5085-731a-4ddd-be19-44a21c8bc3e2,The district consumer commission listens to arguments regarding alleged deficiency in housing construction services.
179183db-ced5-411e-851b-4d81b2d9e979,Labor Dispute Tribunal Session,court_hearing,2023-08-21,afdd5085-731a-4ddd-be19-44a21c8bc3e2,The industrial tribunal examines witness testimonies concerning the termination claims raised by factory workers.
973f7b4b-2b30-4a32-83a5-ce9b9825c422,Family Court Maintenance Proceedings,court_hearing,2023-08-28,48334aae-dd4b-4559-927f-4011694a1d92,The presiding judge reviews financial disclosure affidavits submitted by both parties in the ongoing matrimonial dispute.
9e8cfacf-6639-474e-bcf8-3a45fc48fed8,Corporate Insolvency Petition Hearing,court_hearing,2023-10-18,e44e89e9-4e92-4430-af77-94a617033bd3,The tribunal reviews the restructuring proposal submitted by the corporate debtor and creditors committee.
4c273504-4432-4b82-9fe2-3db350fdaf61,Environmental Public Interest Litigation,court_hearing,2024-09-22,f635f2bf-e22f-4f52-980e-3ff7681f1784,The green tribunal hears expert submissions regarding industrial pollution control measures in the municipal zone.
d3e3be78-607c-463c-8694-1fa57c9c67dd,Criminal Appeal Hearing,court_hearing,2024-06-29,45e803a1-d704-4e47-9f8a-a5fe1b39d690,The sessions court examines defense arguments seeking suspension of sentence pending final appeal.
51ebb731-689e-495e-a913-8465449ba20b,Sharma-Verma Wedding Reception,wedding,2023-09-12,eb124da1-2037-4029-9592-d8ff47879b60,"An evening celebration hosted by the families featuring dinner, traditional music, and a gathering of guests."
29c18bdd-be2f-41f4-b7bf-a87bb9d4ee8e,Mehendi Ceremony of Ananya,wedding,2025-01-06,f8fb5476-9b84-42d2-adaa-52d8c313d7d2,A pre-wedding ritual involving application of henna designs on the bride's hands accompanied by folk songs.
388db64c-86a6-42a7-adc9-6d1f3b965cc5,Traditional South Indian Muhurtham,wedding,2024-07-23,e3ab6e89-229d-4cd6-9439-4bf6ef14629c,An auspicious morning wedding ceremony conducted according to Vedic rites in a traditional marriage hall.
3627dc0e-86ae-4409-8495-6a49e66dab89,Sangeet Night Celebration,wedding,2025-02-08,136eff02-aaa9-4d02-9322-e157b879657b,A musical family gathering with choreographed dance performances and celebratory dining.
8446b6b5-ddd3-4d92-9cfa-b96aa61aae07,Destination Wedding Pheras,wedding,2024-04-03,9c3ab627-7bf2-4906-a00a-aa7a9d1113bd,An outdoor ritual where the couple takes sacred vows around the ceremonial fire overlooking a scenic resort.
ac08e192-8430-4831-843f-38be35de8a39,Haldi and Ubtan Ritual,wedding,2023-11-03,52af94bf-29a6-4158-b962-6a4fcd19d2be,A cleansing ceremony where turmeric paste is applied to the bride and groom by close relatives for good luck.
93d3774f-dedc-494e-a0ba-e1530953c822,Ring Exchange and Cocktail Party,wedding,2024-03-18,385fa6c3-4652-4cd3-9e88-aa4c1c315acd,A modern pre-wedding event featuring the formal exchange of rings followed by socializing and dinner.
a9f23436-6691-4334-af04-447e533ea661,Vidaai and Farewell Ceremony,wedding,2023-09-17,136eff02-aaa9-4d02-9322-e157b879657b,An emotional ritual marking the departure of the bride from her parental home to start her new life.
2ef1d394-fc20-4bab-bb39-3eccc97882e4,Sharma Family Antim Sanskar,funeral,2025-03-09,3b2bb895-120c-43af-bc7b-c14f67265184,A traditional cremation ceremony held at the local riverbank for the eldest member of the Sharma household.
bfcb6950-8808-4706-b667-74211950776a,Patel Community Prayer Meet,funeral,2023-09-05,433d1091-50e0-46d0-b34d-21ea36046dae,A solemn evening gathering at the community hall to pay respects and share memories of a departed resident.
1bfee9bc-af9d-4357-96d5-70bd6aeb297b,Dasgupta Memorial Shraddha,funeral,2023-07-14,433d1091-50e0-46d0-b34d-21ea36046dae,The thirteenth-day ritual and condolence lunch organized by the family to honor the departed soul.
a05e7d5f-5565-47e6-a43f-cab7cc20b64c,Menon Family Chathuram,funeral,2024-08-19,99e9a460-ceb3-4609-9a0f-4dce99ada1b2,A private ancestral remembrance rite and memorial service conducted at the ancestral family residence.
a22d263a-bdb8-4797-b79d-c7974439292d,Municipal Corporation Office Demolition Demonstration,protest,2023-10-13,6117ba7e-5dfb-44a0-a425-b11cd0f2f028,Local vendors gathered outside the municipal headquarters to voice their concerns over the recent commercial eviction notices.
2657aba6-4701-4dd0-92da-f18f18eb9807,University Campus Fee Hike Rally,protest,2024-03-19,26761411-cf0a-4118-9225-5d7d50d855c6,Students marched across the central quadrangle to demand an immediate rollback of the proposed tuition and hostel fee increases.
458db21e-86d2-46b9-8f1f-536e5474d9d1,IT Sector Cab Driver Safety March,protest,2023-09-28,60e018cc-80fd-40d1-be1b-e65e6d11acc3,Transport workers assembled at the tech park junction to call for stricter regulations and enhanced security measures for night shifts.
bc4c0c74-5dcf-4884-aa32-8a727c1f2e9a,Highway Expansion Land Acquisition Sit-In,protest,2024-11-04,aa506d6f-30b4-4fe7-bca6-7f2c04b28c17,Agricultural community members staged a peaceful sit-in to request fair compensation packages and better rehabilitation terms.
59378a95-e374-4b1b-999a-c331e93e6714,Public Hospital Staffing Shortage Dharna,protest,2024-06-26,62b16554-83b1-4666-9e75-be493be17615,Contractual healthcare workers gathered near the civil hospital gates to press for timely salary disbursements and permanent positions.
c652e28c-ce4d-42a2-bdc6-196a44408452,City Stadium Election Rally,election_rally,2025-04-08,6e52fc9a-f78d-4af7-8767-7e8f2a460895,A public gathering hosted by local candidates to present their party manifestos and address voters.
03b69702-5fe5-4d7b-8886-9b86bd9a2663,Central Market Campaign Meeting,election_rally,2024-11-12,0ef6a8e7-98bf-41b7-a775-e46b94c109c8,An afternoon assembly where party representatives engage with local business owners and residents.
3e8da28b-b7aa-48c8-b3f3-0cba3792066b,North District Ground Assembly,election_rally,2024-12-21,f8fb5476-9b84-42d2-adaa-52d8c313d7d2,A mass political demonstration featuring speeches by regional organizers regarding key civic issues.
ad9d2537-597b-4123-971c-44bcf8ba7bec,East Avenue Voter Outreach,election_rally,2024-10-21,3bcf3cb2-15e9-4118-b082-241e75e7f818,A community-focused congregation organized by election campaigners to distribute informational pamphlets.
3eddb8ac-279a-4be0-9100-6f9e7cefe9ec,Annual City Ganesh Utsav,religious_gathering,2024-06-15,d5a1bd73-cd7f-4fdb-a391-b386895777aa,"A community-organized ten-day celebration featuring devotional singing, cultural performances, and the installation of a large clay idol."
f77fb827-b2be-4306-ba08-43b4517bf485,Sharma-Verma Wedding Reception,religious_gathering,2023-09-25,99e9a460-ceb3-4609-9a0f-4dce99ada1b2,"A grand evening banquet celebrating the union of two families with traditional music, a multi-course buffet, and social gatherings."
406863a8-8cef-406a-abf9-bb92a432ebdd,Navratri Garba Night,religious_gathering,2024-04-21,99e9a460-ceb3-4609-9a0f-4dce99ada1b2,An energetic nocturnal gathering where participants perform traditional folk dances in vibrant attire to celebrate the autumn festival.
7128af98-e321-4595-a8e5-ab5a9db9fa7d,District Court Land Dispute Hearing,religious_gathering,2023-09-05,433d1091-50e0-46d0-b34d-21ea36046dae,A judicial proceeding where the magistrate reviews land ownership documents and hears arguments from both legal representatives.
da67562d-dcc5-499e-add9-e72e7b0df0a9,Local Market Vendor Protest,religious_gathering,2024-02-15,2796f166-4b38-41c0-aa90-df4c3f1d5918,A peaceful demonstration staged outside the municipal office by local shopkeepers demanding a review of recent commercial tax hikes.
4bb09633-4c8c-48fc-b4bc-fbd42bf4a4bc,Spring Basant Panchami Puja,religious_gathering,2024-08-16,cca2418e-5650-42dc-add4-f55d74d47fd4,"A morning religious ritual dedicated to the goddess of knowledge, marked by offerings of yellow flowers and classical music recitals."
a5d2b9f8-908a-42ff-b8b9-e51f76bc8017,Community Satyanarayan Katha,religious_gathering,2024-12-30,e470d50c-9ba3-4608-9d67-59d10e5ce261,A neighborhood religious gathering involving the chanting of sacred verses and the distribution of sweet Prasad offerings.
678a7caf-8767-4cb5-8bec-42cdc83fa8cc,Union Labor Rights Demonstration,religious_gathering,2024-06-14,d5a1bd73-cd7f-4fdb-a391-b386895777aa,A public assembly of factory workers holding banners to advocate for improved workplace safety standards and fair overtime pay.
5798f9fc-86df-4193-a793-b071a6ff3e46,Sharma Family Wedding Reception,other,2024-01-17,45e803a1-d704-4e47-9f8a-a5fe1b39d690,A traditional evening celebration held at a banquet hall to welcome the newly married couple.
4160bbb2-fcc5-4b59-9c31-ce0b037bc25c,Annual Community Diwali Mela,other,2025-04-02,3548beb9-6adf-49db-968e-bb7eea1585ad,"A local neighborhood gathering featuring food stalls, cultural performances, and festive lights."
4f5d37fa-1a2b-477a-b40a-daf02b19de6e,Civil Court Property Dispute Hearing,other,2023-06-18,fc95a8f1-8226-4323-8a5a-6d16cd95de50,A scheduled proceeding before a magistrate to review land ownership documents submitted by both parties.
fad39589-d0ae-4250-a339-78510698ad10,Local Market Vendor Protest,other,2024-09-29,9dda0b2e-ff57-4c9e-ac43-43e122f085c1,A peaceful gathering of small business owners demanding a revision of municipal licensing fees.
545633df-0a0a-450f-898d-135fdcfe61ea,Regional Classical Music Conclave,other,2024-03-26,60e018cc-80fd-40d1-be1b-e65e6d11acc3,A three-day cultural program showcasing traditional instrumentalists and vocalists from across the state.
720dec10-4535-4412-b904-27e774fbc302,Resident Welfare Association General Body Meeting,other,2023-07-22,acf95cbc-185f-41f6-abd6-8eae56de4478,An assembly of apartment owners discussing the upcoming maintenance budget and security upgrades.
f3b69a40-7138-48a2-b3e5-0ac937d5e7f2,Monsoon Tree Plantation Drive,other,2024-12-04,63567c45-207e-4463-9fb3-9061aea4680e,A volunteer-led environmental initiative to plant saplings along city sidewalks and public parks.
b43a8bd6-beb4-45c2-a244-023dbde5540e,District Level Science Exhibition,other,2025-03-15,4a112051-0cf1-43ef-beec-1a7e9a17cc89,A competition where high school students display working models of renewable energy and automation projects.
61d496d3-cd88-469c-a2e7-dfd1f27a6d54,Handloom and Handicraft Trade Fair,other,2024-05-20,c49dcf9b-a287-4147-9eb8-e168df91c147,"A temporary marketplace showcasing indigenous textiles, pottery, and artifact creators from rural districts."
60dc12b3-b6b3-4d8a-9247-a412830ff00f,Labour Union Wage Negotiation Assembly,other,2025-05-17,d11dad4d-c5b0-4f41-9bcd-c07fed06695f,A formal discussion between factory representatives and worker delegates regarding revised daily compensation.
9674e346-e1ca-477b-b97a-f17338b611d7,Trading Partners Coordination Meeting,business_meeting,2024-04-09,fa611201-3cf8-479a-86a9-0a3dd9f725ff,A private meeting between several trading contacts held at a commercial premises to discuss consignment logistics.
f8382a1f-3a7f-4d44-91b3-4c7702ad027a,Logistics Vendor Review Meeting,business_meeting,2024-05-19,ec8e2774-5abd-4198-810b-d14d2f0b2f0d,A vendor review meeting held at a warehouse facility regarding inbound and outbound shipment scheduling.
675dc6ac-e6f4-4959-8974-90b72628a92f,Sharma-Verma Wedding Reception,wedding,2025-04-18,0d0270bd-2e73-46ba-8a90-6a03ed0586b6,A large wedding reception at a city hotel attended by extended family and business associates.
0844d931-e91c-43c1-80e9-279e8f034769,Annual Community Satsang Gathering,religious_gathering,2023-07-18,d6f40bfd-4360-4e5a-b544-68d5bf70b311,An annual community religious gathering drawing attendees from several neighborhoods.
64d27664-6fcf-4d9a-a4e4-c57c44c7e13c,Warehouse Yard Disturbance,incident,2024-07-23,731dea87-33eb-4d96-b9a2-badc96e00b51,A reported disturbance near a warehouse yard late at night prompting a patrol response.
033d6397-80bc-44df-a8ea-2a32713a2f0c,Market Late-Night Altercation,incident,2024-08-21,8382482c-b106-46dc-83bd-d519ac2530f3,An altercation reported near a wholesale market during late evening hours.
fa1423c0-9e5c-48c0-8489-93f140e0535a,Transport Hub Spot Inspection,raid,2024-09-18,677b943d-7828-4146-9dbe-db090c179e46,A routine spot inspection carried out at a transport hub as part of a wider enforcement drive.
ae240597-1c81-4223-885d-22fc7058aa22,Overseas Consultancy Client Meeting,business_meeting,2024-04-01,602d9768-51c6-48ac-b514-d39a38aa8cab,A client meeting held at a consultancy office to discuss an import-export engagement.
841f33aa-4258-4809-8a6c-7aa309bc047d,Border Area Vehicle Checkpoint Drive,other,2024-12-21,d476c65b-b5f7-4b45-92c9-9d055266a324,A scheduled vehicle checkpoint drive conducted in a border-adjacent area.
d780bca4-3ddc-448a-8ced-14c8bcee77ac,Wholesale Traders Association Dinner,business_meeting,2023-07-13,5afe0c58-ef26-4319-883f-658b513ec377,A dinner gathering of wholesale traders held at a city restaurant.
4f5bab94-8209-4c61-84da-cf860784f316,Hotel Lobby Meet-up,other,2024-01-12,52af94bf-29a6-4158-b962-6a4fcd19d2be,A brief informal meet-up observed in a hotel lobby area.
8616fe30-729e-47eb-8845-45c48096a99b,Cash Courier Bag Recovery,incident,2024-05-03,943731aa-f7f4-45ff-b9ae-48f396e860e0,A bag containing cash was recovered near a transport hub and logged as evidence pending inquiry.
d8135938-34a2-4084-bea3-f62cf4a04a6f,Regional Distributors Planning Session,business_meeting,2023-09-14,602d9768-51c6-48ac-b514-d39a38aa8cab,A planning session among regional distributors held at a commercial office.
8bd43ef3-1519-4649-a9ef-dda1b158e8e4,Neighborhood Festival Procession,religious_gathering,2023-06-25,6f3b90d6-bf47-4007-b91f-248aa5d7305f,A neighborhood festival procession drawing a large mixed crowd.
a8b6c1ed-daf0-4332-ae38-d5c3830b8236,Late Night Warehouse Vehicle Movement,other,2024-01-24,8e5036df-127c-4594-9192-f94d067db20e,Unusual vehicle movement was noted near a warehouse facility during late night hours.
